longitude	time	latitude	msl
-71.26203774444183	2017-09-20 12:00:00	18.2	101252.79513428938
-70.97215449449875	2017-09-20 12:00:00	18.2	101123.65702836256
-70.96739397369393	2017-09-20 12:00:00	18.2	101123.99240705327
-70.92732165965268	2017-09-20 12:00:00	18.2	101126.81550157747
-70.87182332653019	2017-09-20 12:00:00	18.2	101130.72535914594
-70.70084908563238	2017-09-20 12:00:00	18.2	101137.256990598
-70.61839592436732	2017-09-20 12:00:00	18.2	101133.81663244423
-70.50411237640283	2017-09-20 12:00:00	18.2	101129.04815140541
-70.21785172032945	2017-09-20 12:00:00	18.2	101121.47599711473
-69.54295055035185	2017-09-20 12:00:00	18.2	101103.83188440524
-69.16660813866272	2017-09-20 12:00:00	18.2	101048.5100142341
-68.55480890627703	2017-09-20 12:00:00	18.2	100881.55187892356
-68.31184421882878	2017-09-20 12:00:00	18.2	100805.99999678222
-68.10358428737418	2017-09-20 12:00:00	18.2	100727.72657583091
-66.74383357088743	2017-09-20 12:00:00	18.2	98816.61374215808
-66.43645615625988	2017-09-20 12:00:00	18.2	98304.90473240122
-66.3869276049515	2017-09-20 12:00:00	18.2	98272.3047303766
-66.2873666588731	2017-09-20 12:00:00	18.2	98206.77309341189
-66.26775974299733	2017-09-20 12:00:00	18.2	98193.86769883924
-66.07272976036643	2017-09-20 12:00:00	18.2	98347.33969932761
-65.99283688408777	2017-09-20 12:00:00	18.2	98430.80217242066
-65.52705887997591	2017-09-20 12:00:00	18.2	99529.72098152922
-65.37202358385375	2017-09-20 12:00:00	18.2	99859.30961169567
-65.33921181557025	2017-09-20 12:00:00	18.2	99926.17917516321
-64.99356224907484	2017-09-20 12:00:00	18.2	100394.08459781227
-64.91680283469069	2017-09-20 12:00:00	18.2	100446.82934966001
-64.29470880407345	2017-09-20 12:00:00	18.2	100753.80399051443
-63.86086435743272	2017-09-20 12:00:00	18.2	100882.0175841609
-63.454125575618455	2017-09-20 12:00:00	18.2	100959.50823364027
-63.064122420436874	2017-09-20 12:00:00	18.2	101012.84340364063
-62.841342486562525	2017-09-20 12:00:00	18.2	101047.2611401269
-62.492141580711426	2017-09-20 12:00:00	18.2	101110.76571936457
-62.05271907390889	2017-09-20 12:00:00	18.2	101196.3914622997
-62.027004403324995	2017-09-20 12:00:00	18.2	101201.24510637241
-60.92176695734528	2017-09-20 12:00:00	18.2	101368.2965969375
-60.38070383922108	2017-09-20 12:00:00	18.2	101420.13389807162
-60.24616438357827	2017-09-20 12:00:00	18.2	101432.15625599168
-59.24983354309121	2017-09-20 12:00:00	18.2	101515.3371646505
-58.756621269896286	2017-09-20 12:00:00	18.2	101539.01251038462
-58.077338393181876	2017-09-20 12:00:00	18.2	101551.28488981863
-57.976377990309224	2017-09-20 12:00:00	18.2	101551.96033462924
-57.927450139048844	2017-09-20 12:00:00	18.2	101551.98174056417
-57.84409827623651	2017-09-20 12:00:00	18.2	101552.01820700415
-57.75412413384213	2017-09-20 12:00:00	18.2	101552.05757069145
-57.23031259022935	2017-09-20 12:00:00	18.2	101545.77872186764
-56.638788541303484	2017-09-20 12:00:00	18.2	101537.10301710859
-56.316936549604364	2017-09-20 12:00:00	18.2	101530.94527665929
-56.023691175005055	2017-09-20 12:00:00	18.2	101526.60090172617
-55.77773836417365	2017-09-20 12:00:00	18.2	101525.45818848834
-55.617907755337434	2017-09-20 12:00:00	18.2	101526.83403198716
-55.04458365806526	2017-09-20 12:00:00	18.2	101532.62005213632
-54.89971116942585	2017-09-20 12:00:00	18.2	101533.17277057673
-54.87057854573973	2017-09-20 12:00:00	18.2	101533.23158206079
-54.832703475632165	2017-09-20 12:00:00	18.2	101533.30804235856
-54.74480268779053	2017-09-20 12:00:00	18.2	101533.43982069298
-54.62155297912967	2017-09-20 12:00:00	18.2	101532.60557422748
-54.60651978807865	2017-09-20 12:00:00	18.2	101532.50381831556
-54.31514262268292	2017-09-20 12:00:00	18.2	101530.17339795873
-54.186232743304835	2017-09-20 12:00:00	18.2	101529.43447695227
-54.071975203142486	2017-09-20 12:00:00	18.2	101529.12669570347
-53.76624409351152	2017-09-20 12:00:00	18.2	101529.71589478674
-53.681069488801754	2017-09-20 12:00:00	18.2	101530.54750401375
-53.642738397462914	2017-09-20 12:00:00	18.2	101530.9796870686
-53.60780243667856	2017-09-20 12:00:00	18.2	101531.37359002644
-52.41161018761073	2017-09-20 12:00:00	18.2	101541.88067744969
-52.28052598708882	2017-09-20 12:00:00	18.2	101541.78482212806
-52.23129799407618	2017-09-20 12:00:00	18.2	101541.71819962347
-52.20325132461751	2017-09-20 12:00:00	18.2	101541.65176407518
-52.16823003493677	2017-09-20 12:00:00	18.2	101541.56880739526
-51.898859597225346	2017-09-20 12:00:00	18.2	101540.11402741852
-51.11300771523314	2017-09-20 12:00:00	18.2	101527.78854567655
-50.987651528615615	2017-09-20 12:00:00	18.2	101525.94232262873
-50.835011500604786	2017-09-20 12:00:00	18.2	101523.83875224271
-50.68397360002316	2017-09-20 12:00:00	18.2	101521.88642532026
